"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Risk-Conditioned Distributional Soft Actor-Critic for Risk-Sensitive Navigation","J. Choi; C. Dance; J. -E. Kim; S. Hwang; K. -S. Park","Naver Labs, Gyeonggi-do, South Korea; Naver Labs Europe, Meylan, France; Naver Labs, Gyeonggi-do, South Korea; Naver Labs, Gyeonggi-do, South Korea; Naver Labs, Gyeonggi-do, South Korea",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","8337","8344","Modern navigation algorithms based on deep reinforcement learning (RL) show promising efficiency and robustness. However, most deep RL algorithms operate in a risk-neutral manner, making no special attempt to shield users from relatively rare but serious outcomes, even if such shielding might cause little loss of performance. Furthermore, such algorithms typically make no provisions to ensure safety in the presence of inaccuracies in the models on which they were trained, beyond adding a cost-of-collision and some domain randomization while training, in spite of the formidable complexity of the environments in which they operate. In this paper, we present a novel distributional RL algorithm that not only learns an uncertainty-aware policy, but can also change its risk measure without expensive fine-tuning or retraining. Our method shows superior performance and safety over baselines in partially- observed navigation tasks. We also demonstrate that agents trained using our method can adapt their policies to a wide range of risk measures at run-time.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9560962","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9560962","","Training;Navigation;Conferences;Measurement uncertainty;Reinforcement learning;Robustness;Safety","","23","","46","IEEE","18 Oct 2021","30 May-5 June 2021","30 May-5 June 2021","IEEE","IEEE Conferences"
"Sim-to-Real Visual Grasping via State Representation Learning Based on Combining Pixel-Level and Feature-Level Domain Adaptation","Y. Park; S. H. Lee; I. H. Suh","Department of Electronics and Computer Engineering, Hanyang University, Korea; Innovative Smart Manufacturing R&D Department, Korea Institute of Industrial Technology; CogAplex Co., Ltd",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","6300","6307","In this study, we present a method to grasp diverse unseen real-world objects using an off-policy actor-critic deep reinforcement learning (RL) with the help of a simulation and the use of as little real-world data as possible. Actor-critic deep RL is unstable and difficult to tune when a raw image is given as an input. Therefore, we use state representation learning (SRL) to make actor-critic RL feasible for visual grasping tasks. Meanwhile, to reduce visual reality gap between simulation and reality, we also employ a typical pixel-level domain adaptation that can map simulated images to realistic ones. In our method, as the SRL model is a common preprocessing module for simulated and real-world data, we perform SRL using real and adapted images. This pixel-level domain adaptation enables the robot to learn grasping skills in a real environment using small amounts of real-world data. However, the controller trained in the simulation should adapt to the real world efficiently. Hence, we propose a method combining a typical pixel-level domain adaptation and the proposed SRL model, where we perform SRL based on a feature-level domain adaptation. In evaluations of vision-based robotics grasping tasks, we show that the proposed method achieves a substantial improvement over a method that only employs a pixel-level or domain adaptation.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561302","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561302","","Adaptation models;Visualization;Automation;Conferences;Grasping;Reinforcement learning;Data models","","10","","38","IEEE","18 Oct 2021","30 May-5 June 2021","30 May-5 June 2021","IEEE","IEEE Conferences"
"Dexterous Manoeuvre through Touch in a Cluttered Scene","W. Liang; Q. Ren; X. Chen; J. Gao; Y. Wu","Institute for Infocomm Research (I2R), A*STAR, Singapore; College of Control Science and Engineering, Zhejiang University, Hangzhou, China; College of Control Science and Engineering, Zhejiang University, Hangzhou, China; School of Automation, Guangdong University of Technology, Guangzhou, China; Institute for Infocomm Research (I2R), A*STAR, Singapore",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","6308","6314","Manipulation in a densely cluttered environment creates complex challenges in perception to close the control loop, many of which are due to the sophisticated physical interaction between the environment and the manipulator. Drawing from biological sensory-motor control, to handle the task in such a scenario, tactile sensing can be used to provide an additional dimension of the rich contact information from the interaction for decision making and action selection to manoeuvre towards a target. In this paper, a new tactile-based motion planning and control framework based on bioinspiration is proposed and developed for a robot manipulator to manoeuvre in a cluttered environment. An iterative two-stage machine learning approach is used in this framework: an autoencoder is used to extract important cues from tactile sensory readings while a reinforcement learning technique is used to generate optimal motion sequence to efficiently reach the given target. The framework is implemented on a KUKA LBR iiwa robot mounted with a SynTouch BioTac tactile sensor and tested with real-life experiments. The results show that the system is able to move the end-effector through the cluttered environment to reach the target effectively.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9562061","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9562061","","Decision making;Tactile sensors;Reinforcement learning;Feature extraction;End effectors;Robustness;Planning","","9","","34","IEEE","18 Oct 2021","30 May-5 June 2021","30 May-5 June 2021","IEEE","IEEE Conferences"
"Reducing the Deployment-Time Inference Control Costs of Deep Reinforcement Learning Agents via an Asymmetric Architecture","C. -J. Chang; Y. -W. Chu; C. -H. Ting; H. -K. Liu; Z. -W. Hong; C. -Y. Lee","Department of Computer Science, Elsa Lab, National Tsing Hua University, Hsinchu, Taiwan; Department of Computer Science, Elsa Lab, National Tsing Hua University, Hsinchu, Taiwan; Department of Computer Science, Elsa Lab, National Tsing Hua University, Hsinchu, Taiwan; Department of Computer Science, Elsa Lab, National Tsing Hua University, Hsinchu, Taiwan; Department of Computer Science, Elsa Lab, National Tsing Hua University, Hsinchu, Taiwan; Department of Computer Science, Elsa Lab, National Tsing Hua University, Hsinchu, Taiwan",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","4762","4768","Deep reinforcement learning (DRL) has been demonstrated to provide promising results in several challenging decision making and control tasks. However, the required inference costs of deep neural networks (DNNs) could prevent DRL from being applied to mobile robots which cannot afford high energy-consuming computations. To enable DRL methods to be affordable in such energy-limited platforms, we propose an asymmetric architecture that reduces the overall inference costs via switching between a computationally expensive policy and an economic one. The experimental results evaluated on a number of representative benchmark suites for robotic control tasks demonstrate that our method is able to reduce the inference costs while retaining the agent’s overall performance.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9562026","Ministry of Science and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9562026","","Deep learning;Costs;Conferences;Decision making;Training data;Computer architecture;Reinforcement learning","","1","","30","IEEE","18 Oct 2021","30 May-5 June 2021","30 May-5 June 2021","IEEE","IEEE Conferences"
"Sample Efficient Reinforcement Learning via Model-Ensemble Exploration and Exploitation","Y. Yao; L. Xiao; Z. An; W. Zhang; D. Luo","TBSI, Tsinghua Shenzhen International Graduate School, Tsinghua University, Shenzhen, China; TBSI, Tsinghua Shenzhen International Graduate School, Tsinghua University, Shenzhen, China; TBSI, Tsinghua Shenzhen International Graduate School, Tsinghua University, Shenzhen, China; TBSI, Tsinghua Shenzhen International Graduate School, Tsinghua University, Shenzhen, China; Tencent AI Lab, Shenzhen, China",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","4202","4208","Model-based deep reinforcement learning has achieved success in various domains that require high sample efficiencies, such as Go and robotics. However, there are some remaining issues, such as planning efficient explorations to learn more accurate dynamic models, evaluating the uncertainty of the learned models, and more rational utilization of models. To mitigate these issues, we present MEEE, a model-ensemble method that consists of optimistic exploration and weighted exploitation. During exploration, unlike prior methods directly selecting the optimal action that maximizes the expected accumulative return, our agent first generates a set of action candidates and then seeks out the optimal action that takes both expected return and future observation novelty into account. During exploitation, different discounted weights are assigned to imagined transition tuples according to their model uncertainty respectively, which will prevent model predictive error propagation in agent training. Experiments on several challenging continuous control benchmark tasks demonstrated that our approach outperforms other model-free and model-based state-of-the-art methods, especially in sample complexity.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561842","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561842","","Training;Uncertainty;Conferences;Estimation;Reinforcement learning;Predictive models;Benchmark testing","","15","","46","IEEE","18 Oct 2021","30 May-5 June 2021","30 May-5 June 2021","IEEE","IEEE Conferences"
"Dreaming: Model-based Reinforcement Learning by Latent Imagination without Reconstruction","M. Okada; T. Taniguchi","Digitan & AI Technology Center, Technology Division, Panasonic Corporation, Japan; Digitan & AI Technology Center, Technology Division, Panasonic Corporation, Japan",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","4209","4215","In the present paper, we propose a decoder-free extension of Dreamer, a leading model-based reinforcement learning (MBRL) method from pixels. Dreamer is a sample- and cost-efficient solution to robot learning, as it is used to train latent state-space models based on a variational autoencoder and to conduct policy optimization by latent trajectory imagination. However, this autoencoding based approach often causes object vanishing, in which the autoencoder fails to perceives key objects for solving control tasks, and thus significantly limiting Dreamer's potential. This work aims to relieve this Dreamer's bottleneck and enhance its performance by means of removing the decoder. For this purpose, we firstly derive a likelihood- free and InfoMax objective of contrastive learning from the evidence lower bound of Dreamer. Secondly, we incorporate two components, (i) independent linear dynamics and (ii) the random crop data augmentation, to the learning scheme so as to improve the training performance. In comparison to Dreamer and other recent model-free reinforcement learning methods, our newly devised Dreamer with InfoMax and without generative decoder (Dreaming) achieves the best scores on 5 difficult simulated robotics tasks, in which Dreamer suffers from object vanishing.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9560734","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9560734","","Training;Service robots;Crops;Reinforcement learning;Robot learning;Decoding;Trajectory","","44","","37","IEEE","18 Oct 2021","30 May-5 June 2021","30 May-5 June 2021","IEEE","IEEE Conferences"
"Model-based Domain Randomization of Dynamics System with Deep Bayesian Locally Linear Embedding","J. H. Park; S. Park; H. J. Kim","Department of Mechanical and Aerospace Engineering, Seoul National University, Seoul, Korea; Department of Mechanical and Aerospace Engineering, Seoul National University, Seoul, Korea; Department of Mechanical and Aerospace Engineering, Seoul National University, Seoul, Korea",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","4223","4229","Domain randomization (DR) is a powerful tool to make a policy robust to the uncertainty of dynamics caused by unobservable environmental parameters. Conventional DR has adopted model-free reinforcement learning as a policy optimizer. However, the model-free methods in DR demand high time-complexity due to the randomization process where the environment is extremely changed. In this paper, we introduce model-based dynamics and policy learning for efficient DR. A Bayesian model of locally linear embedding is designed to fit the stochastic dynamics in DR. By virtue of locally linear dynamics, model-based optimal control is substituted for the policy optimization. Unlike previous works, our proposed Bayesian model with a MNIW prior allows the locally linear embedding to capture the dynamics in DR as a stochastic model. We show that a training method that combines variational and adversarial approaches is adequate for Bayesian embedding. Finally, a model-based controller is designed on our Bayesian locally linear embedding, and it shows better performance in DR environments compared with the non-Bayesian model of locally linear embedding.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561942","Agency for Defense Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561942","","Training;Adaptation models;Uncertainty;Stochastic processes;Optimal control;Reinforcement learning;Tools","","1","","22","IEEE","18 Oct 2021","30 May-5 June 2021","30 May-5 June 2021","IEEE","IEEE Conferences"
"Deep Imitation Learning for Autonomous Navigation in Dynamic Pedestrian Environments","L. Qin; Z. Huang; C. Zhang; H. Guo; M. Ang; D. Rus","Singapore-MIT Alliance for Research and Technology, Singapore; Singapore-MIT Alliance for Research and Technology, Singapore; National University of Singapore, Singapore; Singapore-MIT Alliance for Research and Technology, Singapore; National University of Singapore, Singapore; Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology, Cambridge, MA, USA",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","4108","4115","Navigation through dynamic pedestrian environments in a socially compliant manner is still a challenging task for autonomous vehicles. Classical methods usually lead to unnatural vehicle behaviours for pedestrian navigation due to the difficulty in modeling social conventions mathematically. This paper presents an end-to-end path planning system that achieves autonomous navigation in dynamic environments through imitation learning. The proposed system is based on a fully convolutional neural network that maps the raw sensory data into a confidence map for path extraction. Additionally, a classification network is introduced to reduce the unnecessary re-plannings and ensures that the vehicle goes back to the global path when re-planning is not needed. The imitation learning based path planner is implemented on an autonomous wheelchair and tested in a new real-world dynamic pedestrian environment. Experimental results show that the proposed system is able to generate paths for different driving tasks, such as pedestrian following, static and dynamic obstacles avoidance, etc. In comparison to the state-of-the-art method, our system is superior in terms of generating human-like trajectories.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561220","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561220","","Navigation;Wheelchairs;Robot sensing systems;Mathematical models;Trajectory;Data mining;Convolutional neural networks","","14","","43","IEEE","18 Oct 2021","30 May-5 June 2021","30 May-5 June 2021","IEEE","IEEE Conferences"
"Learning from Demonstration without Demonstrations","T. Blau; P. Morere; G. Francis","School of Computer Science, The University of Sydney, Australia; School of Computer Science, The University of Sydney, Australia; School of Computer Science, The University of Sydney, Australia",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","4116","4122","State-of-the-art reinforcement learning (RL) algorithms suffer from high sample complexity, particularly in the sparse reward case. A popular strategy for mitigating this problem is to learn control policies by imitating a set of expert demonstrations. The drawback of such approaches is that an expert needs to produce demonstrations, which may be costly in practice. To address this shortcoming, we propose Probabilistic Planning for Demonstration Discovery (P2D2), a technique for automatically discovering demonstrations without access to an expert. We formulate discovering demonstrations as a search problem and leverage widely-used planning algorithms such as Rapidly-exploring Random Tree to find demonstration trajectories. These demonstrations are used to initialize a policy, then refined by a generic RL algorithm. We provide theoretical guarantees of P2D2 finding successful trajectories, as well as bounds for its sampling complexity. We experimentally demonstrate the method outperforms classic and intrinsic exploration RL techniques in a range of classic control and robotics tasks, requiring only a fraction of exploration samples and achieving better asymptotic performance.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561119","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561119","","Planing;Reinforcement learning;Games;Probabilistic logic;Search problems;Planning;Complexity theory","","2","","48","IEEE","18 Oct 2021","30 May-5 June 2021","30 May-5 June 2021","IEEE","IEEE Conferences"
"A Peg-in-hole Task Strategy for Holes in Concrete","A. Yuji Yasutomi; H. Mori; T. Ogata","Robotics Research Department, Center for Technology Innovation, R&D Group, Hitachi, Ltd.; Department of Intermedia Art and Science, Graduate School of Fundamental Science and Engineering, Waseda University; Artificial Intelligence Research Center, AIST",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","2205","2211","A method that enables an industrial robot to accomplish the peg-in-hole task for holes in concrete is proposed. The proposed method involves slightly detaching the peg from the wall, when moving between search positions, to avoid the negative influence of the concrete’s high friction coefficient. It uses a deep neural network (DNN), trained via reinforcement learning, to effectively find holes with variable shape and surface finish (due to the brittle nature of concrete) without analytical modeling or control parameter tuning. The method uses displacement of the peg toward the wall surface, in addition to force and torque, as one of the inputs of the DNN. Since the displacement increases as the peg gets closer to the hole (due to the chamfered shape of holes in concrete), it is a useful parameter for inputting in the DNN. The proposed method was evaluated by training the DNN on a hole 500 times and attempting to find 12 unknown holes. The results of the evaluation show the DNN enabled a robot to find the unknown holes with average success rate of 96.1% and average execution time of 12.5 seconds. Additional evaluations with random initial positions and a different type of peg demonstrate the trained DNN can generalize well to different conditions. Analyses of the influence of the peg displacement input showed the success rate of the DNN is increased by utilizing this parameter. These results validate the proposed method in terms of its effectiveness and applicability to the construction industry.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561370","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561370","","Training;Torque;Service robots;Shape;Fasteners;Concrete;Task analysis","","13","","23","IEEE","18 Oct 2021","30 May-5 June 2021","30 May-5 June 2021","IEEE","IEEE Conferences"
