"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Gaussian Process-based Interpretable Runtime Adaptation for Safe Autonomous Systems Operations in Unstructured Environments","C. Gall; N. Bezzo","Department of Aerospace Engineering and Geodesy, University of Stuttgart, Stuttgart, Germany; Departments of Engineering Systems and Environment and Electrical and Computer Engineering, University of Virginia, Charlottesville, VA, USA",2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"16 Dec 2021","2021","","","123","129","Autonomous vehicles may not behave as expected when subject to environmental disturbances. For instance, control commands suitable for driving on dry, paved roads may lead to unsafe conditions and undesired deviations when on slippery dirt or icy roads. Furthermore, it becomes increasingly important to offer human-understandable explanations of autonomous robots’ actions – especially when they operate in a space shared with humans such as public roads. In this work, we present an interpretable, risk-aware online adaptation approach that leverages a combination of Gaussian process regression and decision tree theory. Our approach predicts the system state in unknown environments using pre-trained models, which are continuously refined during runtime using a fast lookup table-based procedure. Every time the originally intended behavior is predicted to cause an unsafe state, our method computes a set of safe behaviors under the current model uncertainty and risk. The most suitable behavior is subsequently selected depending on mission requirements and a human-understandable explanation about the system’s decision-making is delivered. The proposed framework is applied to unmanned ground vehicles and validated in simulations, in which we demonstrate a successful safety-critical cargo delivery through a priori unknown, rough and slippery terrain.","2153-0866","978-1-6654-1714-3","10.1109/IROS51168.2021.9636490","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636490","","Adaptation models;Runtime;Uncertainty;Roads;Computational modeling;Gaussian processes;Predictive models","","5","","19","IEEE","16 Dec 2021","27 Sept.-1 Oct. 2021","27 Sept.-1 Oct. 2021","IEEE","IEEE Conferences"
"Latent Attention Augmentation for Robust Autonomous Driving Policies","R. Cheng; C. Agia; F. Shkurti; D. Meger; G. Dudek","Mobile Robotics Lab (MRL), McGill University, Montreal, Quebec, Canada; Robot Vision and Learning Lab (RVL), University of Toronto, Toronto, Ontario, Canada; Robot Vision and Learning Lab (RVL), University of Toronto, Toronto, Ontario, Canada; Mobile Robotics Lab (MRL), McGill University, Montreal, Quebec, Canada; Mobile Robotics Lab (MRL), McGill University, Montreal, Quebec, Canada",2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"16 Dec 2021","2021","","","130","136","Model-free reinforcement learning has become a viable approach for vision-based robot control. However, sample complexity and adaptability to domain shifts remain persistent challenges when operating in high-dimensional observation spaces (images, LiDAR), such as those that are involved in autonomous driving. In this paper, we propose a flexible framework by which a policy’s observations are augmented with robust attention representations in the latent space to guide the agent’s attention during training. Our method encodes local and global descriptors of the augmented state representations into a compact latent vector, and scene dynamics are approximated by a recurrent network that processes the latent vectors in sequence. We outline two approaches for constructing attention maps; a supervised pipeline leveraging semantic segmentation networks, and an unsupervised pipeline relying only on classical image processing techniques. We conduct our experiments in simulation and test the learned policy against varying seasonal effects and weather conditions. Our design decisions are supported in a series of ablation studies. The results demonstrate that our state augmentation method both improves learning efficiency and encourages robust domain adaptation when compared to common end-to-end frameworks and methods that learn directly from intermediate representations.","2153-0866","978-1-6654-1714-3","10.1109/IROS51168.2021.9636449","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636449","","Training;Adaptation models;Pipelines;Urban areas;Semantics;Robot control;Reinforcement learning","","5","","47","IEEE","16 Dec 2021","27 Sept.-1 Oct. 2021","27 Sept.-1 Oct. 2021","IEEE","IEEE Conferences"
"COCOI: Contact-aware Online Context Inference for Generalizable Non-planar Pushing","Z. Xu; W. Yu; A. Herzog; W. Lu; C. Fu; M. Tomizuka; Y. Bai; C. K. Liu; D. Ho","Everyday Robots, X The Moonshot Factory, Mountain View, CA, USA; Robotics at Google, Mountain View, CA, USA; Everyday Robots, X The Moonshot Factory, Mountain View, CA, USA; Everyday Robots, X The Moonshot Factory, Mountain View, CA, USA; Everyday Robots, X The Moonshot Factory, Mountain View, CA, USA; University of California, Berkeley, Berkeley, CA, USA; Everyday Robots, X The Moonshot Factory, Mountain View, CA, USA; Stanford University, Stanford, CA, USA; Everyday Robots, X The Moonshot Factory, Mountain View, CA, USA",2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"16 Dec 2021","2021","","","176","182","General contact-rich manipulation problems are long-standing challenges in robotics due to the difficulty of understanding complicated contact physics. Deep reinforcement learning (RL) has shown great potential in solving robot manipulation tasks. However, existing RL policies have limited adaptability to environments with diverse dynamics properties, which is pivotal in solving many contact-rich manipulation tasks. In this work, we propose Contact-aware Online COntext Inference (COCOI), a deep RL method that encodes a context embedding of dynamics properties online using contact-rich interactions. We sample sensor data using a novel contact-aware strategy and formulate an interpretable dynamics transition module. We study this method based on a novel and challenging non-planar pushing task, where the robot uses a monocular camera image and wrist force torque sensor reading to push an object to a goal location while keeping it upright. We run extensive experiments to demonstrate the capability of COCOI in a wide range of settings and dynamics properties in simulation, and also in a sim-to-real transfer scenario on a real robot (Webpage: https://context-inference.github.io/).","2153-0866","978-1-6654-1714-3","10.1109/IROS51168.2021.9636836","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636836","","Wrist;Torque;Dynamics;Robot vision systems;Reinforcement learning;History;Task analysis","","8","","32","IEEE","16 Dec 2021","27 Sept.-1 Oct. 2021","27 Sept.-1 Oct. 2021","IEEE","IEEE Conferences"
"DeepKoCo: Efficient latent planning with a task-relevant Koopman representation","B. van der Heijden; L. Ferranti; J. Kober; R. Babuška","Cognitive Robotics at the Faculty of 3mE, Delft University of Technology, The Netherlands; Cognitive Robotics at the Faculty of 3mE, Delft University of Technology, The Netherlands; Cognitive Robotics at the Faculty of 3mE, Delft University of Technology, The Netherlands; Cognitive Robotics at the Faculty of 3mE, Delft University of Technology, The Netherlands",2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"16 Dec 2021","2021","","","183","189","This paper presents DeepKoCo, a novel modelbased agent that learns a latent Koopman representation from images. This representation allows DeepKoCo to plan efficiently using linear control methods, such as linear model predictive control. Compared to traditional agents, DeepKoCo learns taskrelevant dynamics, thanks to the use of a tailored lossy autoencoder network that allows DeepKoCo to learn latent dynamics that reconstruct and predict only observed costs, rather than all observed dynamics. As our results show, DeepKoCo achieves a similar final performance as traditional model-free methods on complex control tasks, while being considerably more robust to distractor dynamics, making the proposed agent more amenable for real-life applications.","2153-0866","978-1-6654-1714-3","10.1109/IROS51168.2021.9636408","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636408","Model-based reinforcement learning;Koopman theory;model-predictive control","Costs;Planning;Task analysis;Intelligent robots;Image reconstruction;Predictive control","","5","","23","IEEE","16 Dec 2021","27 Sept.-1 Oct. 2021","27 Sept.-1 Oct. 2021","IEEE","IEEE Conferences"
"Low Dimensional State Representation Learning with Robotics Priors in Continuous Action Spaces","N. Botteghi; K. Alaa; M. Poel; B. Sirmacek; C. Brune; A. Mersha; S. Stramigioli","Faculty of Electrical Engineering, Mathematics and Computer Science, University of Twente, Enschede, The Netherlands; Intelligent Driving Functions R&D Center, IAV GmbH (Volkswagen Group), Berlin, Germany; Faculty of Electrical Engineering, Mathematics and Computer Science, University of Twente, Enschede, The Netherlands; Department of Computer Science, Jönköping University, Jönköping, Sweden; Faculty of Electrical Engineering, Mathematics and Computer Science, University of Twente, Enschede, The Netherlands; Research Group of Mechatronics, Saxion University of Applied Sciences, Enschede, The Netherlands; Faculty of Electrical Engineering, Mathematics and Computer Science, University of Twente, Enschede, The Netherlands",2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"16 Dec 2021","2021","","","190","197","Reinforcement learning algorithms have proven to be capable of solving complicated robotics tasks in an end-to-end fashion without any need for hand-crafted features or policies. Especially in the context of robotics, in which the cost of real-world data is usually extremely high, Reinforcement Learning solutions achieving high sample efficiency are needed. In this paper, we propose a framework combining the learning of a low-dimensional state representation, from high-dimensional observations coming from the robot’s raw sensory readings, with the learning of the optimal policy, given the learned state representation. We evaluate our framework in the context of mobile robot navigation in the case of continuous state and action spaces. Moreover, we study the problem of transferring what learned in the simulated virtual environment to the real robot without further retraining using real-world data in the presence of visual and depth distractors, such as lighting changes and moving obstacles. A video of our experiments can be found at: https://youtu.be/rUdGPKr2Wuo.","2153-0866","978-1-6654-1714-3","10.1109/IROS51168.2021.9635936","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9635936","","Representation learning;Visualization;Navigation;Virtual environments;Reinforcement learning;Robot sensing systems;Mathematical models","","6","","28","IEEE","16 Dec 2021","27 Sept.-1 Oct. 2021","27 Sept.-1 Oct. 2021","IEEE","IEEE Conferences"
"Acceleration of Actor-Critic Deep Reinforcement Learning for Visual Grasping by State Representation Learning Based on a Preprocessed Input Image","T. Kim; Y. Park; Y. Park; S. H. Lee; I. Hong Suh","Department of Electronics and Computer Engineering, Hanyang University, Korea; Department of Electronics and Computer Engineering, Hanyang University, Korea; Department of Electronics and Computer Engineering, Hanyang University, Korea; Innovative Smart Manufacturing R&D Department, Korea Institute of Industrial Technology; CogAplex Co., Ltd",2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"16 Dec 2021","2021","","","198","205","For robotic grasping tasks with diverse target objects, some deep learning-based methods have achieved state-of-the-art results using direct visual input. In contrast, actor-critic deep reinforcement learning (RL) methods typically perform very poorly when applied to grasp diverse objects, especially when learning from raw images and sparse rewards. To render these RL techniques feasible for vision-based grasping tasks, we used state representation learning (SRL), in which we encode essential information for subsequent use in RL. However, typical representation learning procedures are unsuitable for extracting pertinent information for learning grasping skills owing to the high complexity of visual inputs for representation learning, in which a robot attempts to grasp a target object. We found that the proposed preprocessed input image is the key to capturing effectively a compact representation. This enables deep RL to learn robotic grasping skills from highly varied and diverse visual inputs. Further, we demonstrate the effectiveness of the proposed approach with varying levels of preprocessing in a realistic simulated environment. We also describe how the resulting model can be transferred to a real-world robot and also demonstrate a 68% success rate on real-world grasp attempts.","2153-0866","978-1-6654-1714-3","10.1109/IROS51168.2021.9635931","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9635931","","Representation learning;Training;Learning systems;Visualization;Data preprocessing;Grasping;Reinforcement learning","","12","","38","IEEE","16 Dec 2021","27 Sept.-1 Oct. 2021","27 Sept.-1 Oct. 2021","IEEE","IEEE Conferences"
"Lvio-Fusion: A Self-adaptive Multi-sensor Fusion SLAM Framework Using Actor-critic Method","Y. Jia; H. Luo; F. Zhao; G. Jiang; Y. Li; J. Yan; Z. Jiang; Z. Wang","School of Computer Science (National Pilot Software Engineering School), Beijing University of Posts and Telecommunications, Beijing, China; Beijing Key Laboratory of Mobile Computing and Pervasive Device, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; School of Computer Science (National Pilot Software Engineering School), Beijing University of Posts and Telecommunications, Beijing, China; School of Computer Science (National Pilot Software Engineering School), Beijing University of Posts and Telecommunications, Beijing, China; School of Computer Science (National Pilot Software Engineering School), Beijing University of Posts and Telecommunications, Beijing, China; School of Computer Science (National Pilot Software Engineering School), Beijing University of Posts and Telecommunications, Beijing, China; School of Artificial Intelligence, Beijing University of Posts and Telecommunications, Beijing, China; School of Artificial Intelligence, Beijing Technology and Business University, Beijing, China",2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"16 Dec 2021","2021","","","286","293","State estimation with sensors is essential for mobile robots. Due to different performance of sensors in different environments, how to fuse measurements of various sensors is a problem. In this paper, we propose a tightly coupled multi-sensor fusion framework, Lvio-Fusion, which fuses stereo camera, Lidar, IMU, and GPS based on the graph optimization. Especially for urban traffic scenes, we introduce a segmented global pose graph optimization with GPS and loop-closure, which can eliminate accumulated drifts. Additionally, we creatively use a actor-critic method in reinforcement learning to adaptively adjust sensors’ weight. After training, actor-critic agent can provide the system better and dynamic sensors’ weight. We evaluate the performance of our system on public datasets and compare it with other state-of-the-art methods, which shows that the proposed method achieves high estimation accuracy and robustness to various environments. And our implementations are open source and highly scalable.","2153-0866","978-1-6654-1714-3","10.1109/IROS51168.2021.9635905","Research and Development; Beijing University of Posts and Telecommunications; National Natural Science Foundation of China; Research and Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9635905","","Simultaneous localization and mapping;Laser radar;Fuses;Reinforcement learning;Sensor fusion;Cameras;Robustness","","50","","31","IEEE","16 Dec 2021","27 Sept.-1 Oct. 2021","27 Sept.-1 Oct. 2021","IEEE","IEEE Conferences"
"Exploring Learning for Intercepting Projectiles with a Robot-Held Stick","J. E. G. Baxter; T. Adamson; S. Sugaya; L. Tapia","Department of Computer Science, University of New Mexico, Albuquerque, NM, USA; Department of Computer Science, University of New Mexico, Albuquerque, NM, USA; Department of Computer Science, University of New Mexico, Albuquerque, NM, USA; Department of Computer Science, University of New Mexico, Albuquerque, NM, USA",2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"16 Dec 2021","2021","","","369","376","For many tasks, including table tennis, catching, and sword fighting, a critical step is intercepting the incoming object with a robot arm or held tool. Solutions to robot arm interception via learning, specifically reinforcement learning (RL), have become prevalent, as they provide robust solutions to the robot arm interception problem, even for high degree of freedom robotic systems. Despite numerous solutions, there has been little exploration into the factors of learning that impact solution quality. Thus, there is little insight into what problem features lead to better learning success. In this paper, we explore the parameters that impact solution quality. We find that link position observations outperform joint angle observations in terms of learning speed, performance, ability to utilize more than one frame of observation, and generalization to situations not trained for. These results are immediately applicable to RL for robot arm interception tasks.","2153-0866","978-1-6654-1714-3","10.1109/IROS51168.2021.9635993","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9635993","","Projectiles;Neurons;Kinematics;Reinforcement learning;Arms;Manipulators;Task analysis","","","","32","IEEE","16 Dec 2021","27 Sept.-1 Oct. 2021","27 Sept.-1 Oct. 2021","IEEE","IEEE Conferences"
"Learning Connectivity for Data Distribution in Robot Teams","E. Tolstaya; L. Butler; D. Mox; J. Paulos; V. Kumar; A. Ribeiro","Dept. of Electrical and Systems Eng., University of Pennsylvania, USA; Dept. of Electrical and Systems Eng., University of Pennsylvania, USA; Dept. of Mechanical Eng. and Applied Mechanics, University of Pennsylvania, USA; Dept. of Mechanical Eng. and Applied Mechanics, University of Pennsylvania, USA; Dept. of Electrical and Systems Eng., University of Pennsylvania, USA; Dept. of Electrical and Systems Eng., University of Pennsylvania, USA",2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"16 Dec 2021","2021","","","413","420","Many algorithms for control of multi-robot teams operate under the assumption that low-latency, global state information necessary to coordinate agent actions can readily be disseminated among the team. However, in harsh environments with no existing communication infrastructure, robots must form ad-hoc networks, forcing the team to operate in a distributed fashion. To overcome this challenge, we propose a task-agnostic, decentralized, low-latency method for data distribution in ad-hoc networks using Graph Neural Networks (GNN). Our approach enables multi-agent algorithms based on global state information to function by ensuring it is available at each robot. To do this, agents glean information about the topology of the network from packet transmissions and feed it to a GNN running locally which instructs the agent when and where to transmit the latest state information. We train the distributed GNN communication policies via reinforcement learning using the average Age of Information as the reward function and show that it improves training stability compared to task-specific reward functions. Our approach performs favorably compared to industry-standard methods for data distribution such as random flooding and round robin. We also show that the trained policies generalize to larger teams of both static and mobile agents.","2153-0866","978-1-6654-1714-3","10.1109/IROS51168.2021.9636873","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636873","","Wireless communication;Training;Service robots;Robot kinematics;Spread spectrum communication;Ad hoc networks;Topology","","7","","33","IEEE","16 Dec 2021","27 Sept.-1 Oct. 2021","27 Sept.-1 Oct. 2021","IEEE","IEEE Conferences"
"Trajectory-Constrained Deep Latent Visual Attention for Improved Local Planning in Presence of Heterogeneous Terrain","S. Wapnick; T. Manderson; D. Meger; G. Dudek","Mobile Robotics Laboratory, School of Computer Science, McGill University, Montreal, Canada; Mobile Robotics Laboratory, School of Computer Science, McGill University, Montreal, Canada; Mobile Robotics Laboratory, School of Computer Science, McGill University, Montreal, Canada; Mobile Robotics Laboratory, School of Computer Science, McGill University, Montreal, Canada",2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"16 Dec 2021","2021","","","460","467","We present a reward-predictive, model-based learning method featuring trajectory-constrained visual attention for use in mapless, local visual navigation tasks. Our method learns to place visual attention at locations in latent image space which follow trajectories caused by vehicle control actions to later enhance predictive accuracy during planning. Our attention model is jointly optimized by the task-specific loss and additional trajectory-constraint loss, allowing adaptability yet encouraging a regularized structure for improved generalization and reliability. Importantly, visual attention is applied in latent feature map space instead of raw image space to promote efficient planning. We validated our model in visual navigation tasks of planning low turbulence, collision-free trajectories in off-road settings and hill climbing with locking differentials in the presence of slippery terrain. Experiments involved randomized procedural generated simulation and real-world environments. We found our method improved generalization and learning efficiency when compared to no-attention and self-attention alternatives.","2153-0866","978-1-6654-1714-3","10.1109/IROS51168.2021.9636422","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636422","","Learning systems;Space vehicles;Visualization;Adaptation models;Navigation;Aerospace electronics;Planning","","5","","35","IEEE","16 Dec 2021","27 Sept.-1 Oct. 2021","27 Sept.-1 Oct. 2021","IEEE","IEEE Conferences"
