"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Resilient Legged Local Navigation: Learning to Traverse with Compromised Perception End-to-End","C. Zhang; J. Jin; J. Frey; N. Rudin; M. Mattamala; C. Cadena; M. Hutter","Robotic Systems Lab, ETH Zurich, Zurich, Switzerland; Robotic Systems Lab, ETH Zurich, Zurich, Switzerland; Robotic Systems Lab, ETH Zurich, Zurich, Switzerland; Robotic Systems Lab, ETH Zurich, Zurich, Switzerland; Oxford Robotics Institute, the University of Oxford, UK; Robotic Systems Lab, ETH Zurich, Zurich, Switzerland; Robotic Systems Lab, ETH Zurich, Zurich, Switzerland",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","34","41","Autonomous robots must navigate reliably in unknown environments even under compromised exteroceptive perception, or perception failures. Such failures often occur when harsh environments lead to degraded sensing, or when the perception algorithm misinterprets the scene due to limited generalization. In this paper, we model perception failures as invisible obstacles and pits, and train a reinforcement learning (RL) based local navigation policy to guide our legged robot. Unlike previous works relying on heuristics and anomaly detection to update navigational information, we train our navigation policy to reconstruct the environment information in the latent space from corrupted perception and react to perception failures end-to-end. To this end, we incorporate both proprioception and exteroception into our policy inputs, thereby enabling the policy to sense collisions on different body parts and pits, prompting corresponding reactions. We validate our approach in simulation and on the real quadruped robot ANYmal running in real-time (<10ms CPU inference). In a quantitative comparison with existing heuristic-based locally reactive planners, our policy increases the success rate over 30% when facing perception failures. Project Page: https://bit.ly/45NBTuh.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10611254","National Science Foundation; National Centre of Competence in Research Robotics; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10611254","","Legged locomotion;Navigation;Reinforcement learning;Robot sensing systems;Real-time systems;Sensors;Reliability","","19","","52","IEEE","8 Aug 2024","13-17 May 2024","13-17 May 2024","IEEE","IEEE Conferences"
"VLFM: Vision-Language Frontier Maps for Zero-Shot Semantic Navigation","N. Yokoyama; S. Ha; D. Batra; J. Wang; B. Bucher",Boston Dynamics AI Institute; Georgia Institute of Technology; Georgia Institute of Technology; Boston Dynamics AI Institute; Boston Dynamics AI Institute,2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","42","48","Understanding how humans leverage semantic knowledge to navigate unfamiliar environments and decide where to explore next is pivotal for developing robots capable of human-like search behaviors. We introduce a zero-shot navigation approach, Vision-Language Frontier Maps (VLFM), which is inspired by human reasoning and designed to navigate towards unseen semantic objects in novel environments. VLFM builds occupancy maps from depth observations to identify frontiers, and leverages RGB observations and a pre-trained vision-language model to generate a language-grounded value map. VLFM then uses this map to identify the most promising frontier to explore for finding an instance of a given target object category. We evaluate VLFM in photo-realistic environments from the Gibson, Habitat-Matterport 3D (HM3D), and Matterport 3D (MP3D) datasets within the Habitat simulator. Remarkably, VLFM achieves state-of-the-art results on all three datasets as measured by success weighted by path length (SPL) for the Object Goal Navigation task. Furthermore, we show that VLFM’s zero-shot nature enables it to be readily deployed on real-world robots such as the Boston Dynamics Spot mobile manipulation platform. We deploy VLFM on Spot and demonstrate its capability to efficiently navigate to target objects within an office building in the real world, without any prior knowledge of the environment. The accomplishments of VLFM underscore the promising potential of vision-language models in advancing the field of semantic navigation. Videos of real world deployment can be viewed at naoki.io/vlfm.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10610712","Korea Evaluation Institute of Industrial Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10610712","","Weight measurement;Three-dimensional displays;Navigation;Semantics;Robot vision systems;Cameras;Cognition","","150","","38","IEEE","8 Aug 2024","13-17 May 2024","13-17 May 2024","IEEE","IEEE Conferences"
"Learning Continuous Control with Geometric Regularity from Robot Intrinsic Symmetry","S. Yan; B. Zhang; Y. Zhang; J. Boedecker; W. Burgard","Department of Computer Science, University of Freiburg, Germany; Department of Computer Science, University of Freiburg, Germany; Department of Computer Science, University of Freiburg, Germany; Department of Computer Science, University of Freiburg, Germany; Department of Engineering, University of Technology, Nuremberg, Germany",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","49","55","Geometric regularity, which leverages data symmetry, has been successfully incorporated into deep learning architectures such as CNNs, RNNs, GNNs, and Transformers. While this concept has been widely applied in robotics to address the curse of dimensionality when learning from high-dimensional data, the inherent reflectional and rotational symmetry of robot structures has not been adequately explored. Drawing inspiration from cooperative multi-agent reinforcement learning, we introduce novel network structures for single-agent control learning that explicitly capture these symmetries. Moreover, we investigate the relationship between the geometric prior and the concept of Parameter Sharing in multi-agent reinforcement learning. Last but not the least, we implement the proposed framework in online and offline learning methods to demonstrate its ease of use. Through experiments conducted on various challenging continuous control tasks on simulators and real robots, we highlight the significant potential of the proposed geometric regularity in enhancing robot learning capabilities.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10610949","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10610949","","Learning systems;Deep architecture;Reinforcement learning;Transformers;Robot learning;Task analysis;Periodic structures","","4","","28","IEEE","8 Aug 2024","13-17 May 2024","13-17 May 2024","IEEE","IEEE Conferences"
"Learning Vision-Based Bipedal Locomotion for Challenging Terrain","H. Duan; B. Pandit; M. S. Gadde; B. Van Marum; J. Dao; C. Kim; A. Fern","Collaborative Robotics and Intelligent Systems Institute, Oregon State University, Corvallis, Oregon, USA; Collaborative Robotics and Intelligent Systems Institute, Oregon State University, Corvallis, Oregon, USA; Collaborative Robotics and Intelligent Systems Institute, Oregon State University, Corvallis, Oregon, USA; Collaborative Robotics and Intelligent Systems Institute, Oregon State University, Corvallis, Oregon, USA; Collaborative Robotics and Intelligent Systems Institute, Oregon State University, Corvallis, Oregon, USA; Collaborative Robotics and Intelligent Systems Institute, Oregon State University, Corvallis, Oregon, USA; Collaborative Robotics and Intelligent Systems Institute, Oregon State University, Corvallis, Oregon, USA",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","56","62","Reinforcement learning (RL) for bipedal locomotion has recently demonstrated robust gaits over moderate terrains using only proprioceptive sensing. However, such blind controllers will fail in environments where robots must anticipate and adapt to local terrain, which requires visual perception. In this paper, we propose a fully-learned system that allows bipedal robots to react to local terrain while maintaining commanded travel speed and direction. Our approach first trains a controller in simulation using a heightmap expressed in the robot’s local frame. Next, data is collected in simulation to train a heightmap predictor, whose input is the history of depth images and robot states. We demonstrate that with appropriate domain randomization, this approach allows for successful sim-to-real transfer with no explicit pose estimation and no fine-tuning using real-world data. To the best of our knowledge, this is the first example of sim-to-real learning for vision-based bipedal locomotion over challenging terrains.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10611621","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10611621","","Legged locomotion;Robust control;Robot vision systems;Pose estimation;Neural networks;Propioception;Reinforcement learning","","43","","36","IEEE","8 Aug 2024","13-17 May 2024","13-17 May 2024","IEEE","IEEE Conferences"
"Phasic Diversity Optimization for Population-Based Reinforcement Learning","J. Jiang; H. Piao; Y. Fu; Y. Hao; C. Jiang; Z. Wei; X. Yang","Key Laboratory of Social Computing and Cognitive Intelligence, Dalian University of Technology, Dalian, China; School of Electronics and Information, Northwestern Polytechnical University, Xi’an, China; Key Laboratory of Social Computing and Cognitive Intelligence, Dalian University of Technology, Dalian, China; Yangzhou Collaborative Innovation Research Institute Co., Ltd, Yangzhou, China; Key Laboratory of Social Computing and Cognitive Intelligence, Dalian University of Technology, Dalian, China; Institute of Automation, Chinese Academy of Sciences, Beijing, China; Key Laboratory of Social Computing and Cognitive Intelligence, Dalian University of Technology, Dalian, China",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","272","278","Reviewing the previous work of diversity Reinforcement Learning, diversity is often obtained via an augmented loss function, which requires a balance between reward and diversity. Generally, diversity optimization algorithms use Multi-armed Bandits algorithms to select the coefficient in the pre-defined space. However, the dynamic distribution of reward signals for MABs or the conflict between quality and diversity limits the performance of these methods. We introduce the Phasic Diversity Optimization (PDO) algorithm, a Population-Based Training framework that separates reward and diversity training into distinct phases instead of optimizing a multi-objective function. In the auxiliary phase, agents with poor performance diversified via determinants will not replace the better agents in the archive. The decoupling of reward and diversity allows us to use an aggressive diversity optimization in the auxiliary phase without performance degradation. Furthermore, we construct a dogfight scenario for aerial agents to demonstrate the practicality of the PDO algorithm. We introduce two implementations of PDO archive and conduct tests in the newly proposed adversarial dogfight and MuJoCo simulations. The results show that our proposed algorithm achieves better performance than baselines.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10610814","Research and Development; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10610814","","Training;Degradation;DVD;Heuristic algorithms;Reinforcement learning;Task analysis;Robotics and automation","","","","35","IEEE","8 Aug 2024","13-17 May 2024","13-17 May 2024","IEEE","IEEE Conferences"
"VO-Safe Reinforcement Learning for Drone Navigation","F. Lin; C. Wei; R. Grech; Z. Ji","School of Engineering, Cardiff University, Cardiff, UK; College of Mechanical and Electrical Engineering, Hohai University, China; Spirent Communications, Paignton, UK; School of Engineering, Cardiff University, Cardiff, UK",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","279","285","This work is focused on reinforcement learning (RL)-based navigation for drones, whose localisation is based on visual odometry (VO). Such drones should avoid flying into areas with poor visual features, as this can lead to deteriorated localization or complete loss of tracking. To achieve this, we propose a hierarchical control scheme, which uses an RL-trained policy as the high-level controller to generate waypoints for the next control step and a low-level controller to guide the drone to reach subsequent waypoints. For the high-level policy training, unlike other RL-based navigation approaches, we incorporate awareness of VO performance into our policy by introducing pose estimation-related punishment. To aid robots in distinguishing between perception-friendly areas and unfavoured zones, we instead provide semantic scenes, as input for decision-making instead of raw images. This approach also helps minimise the sim-to-real application gap.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10611487","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10611487","","Training;Motion planning;Visualization;Navigation;Semantics;Reinforcement learning;Reliability theory","","6","","25","IEEE","8 Aug 2024","13-17 May 2024","13-17 May 2024","IEEE","IEEE Conferences"
"Collision Avoidance and Navigation for a Quadrotor Swarm Using End-to-end Deep Reinforcement Learning","Z. Huang; Z. Yang; R. Krupani; B. Şenbaşlar; S. Batra; G. S. Sukhatme","Department of Computer Science, University of Southern California, Los Angeles, CA, USA; Department of Computer Science, University of Southern California, Los Angeles, CA, USA; Department of Computer Science, University of Southern California, Los Angeles, CA, USA; Department of Computer Science, University of Southern California, Los Angeles, CA, USA; Department of Computer Science, University of Southern California, Los Angeles, CA, USA; Department of Computer Science, University of Southern California, Los Angeles, CA, USA",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","300","306","End-to-end deep reinforcement learning (DRL) for quadrotor control promises many benefits – easy deployment, task generalization and real-time execution capability. Prior end-to-end DRL-based methods have showcased the ability to deploy learned controllers onto single quadrotors or quadrotor teams maneuvering in simple, obstacle-free environments. However, the addition of obstacles increases the number of possible interactions exponentially, thereby increasing the difficulty of training RL policies. In this work, we propose an end-to-end DRL approach to control quadrotor swarms in environments with obstacles. We provide our agents a curriculum and a replay buffer of the clipped collision episodes to improve performance in obstacle-rich environments. We implement an attention mechanism to attend to the neighbor robots and obstacle interactions - the first successful demonstration of this mechanism on policies for swarm behavior deployed on severely compute-constrained hardware. Our work is the first work that demonstrates the possibility of learning neighbor-avoiding and obstacle-avoiding control policies trained with end-to-end DRL that transfers zero-shot to real quadrotors. Our approach scales to 32 robots with 80% obstacle density in simulation and 8 robots with 20% obstacle density in physical deployment. Website: https://sites.google.com/view/obst-avoid-swarm-rl","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10611499","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10611499","","Training;Navigation;Deep reinforcement learning;Real-time systems;Hardware;Planning;Collision avoidance","","24","","37","IEEE","8 Aug 2024","13-17 May 2024","13-17 May 2024","IEEE","IEEE Conferences"
"Stimulate the Potential of Robots via Competition","K. Huang; D. Guo; X. Zhang; X. Ji; H. Liu","Department of Computer Science and Technology, Tsinghua University, Beijing, P. R. China; School of Artificial Intelligence, Beijing University of Posts and Telecommunications, Beijing, China; School of Vehicle and Mobility, Tsinghua University, Beijing, P. R. China; Department of Automation, Tsinghua University, Beijing, P. R. China; Department of Computer Science and Technology, Tsinghua University, Beijing, P. R. China",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","322","328","It is common for us to feel pressure in a competition environment, which arises from the desire to obtain success comparing with other individuals or opponents. Although we might get anxious under the pressure, it could also be a drive for us to stimulate our potentials to the best in order to keep up with others. Inspired by this, we propose a competitive learning framework which is able to help individual robot to acquire knowledge from the competition, fully stimulating its dynamics potential in the race. Specifically, the competition information among competitors is introduced as the additional auxiliary signal to learn advantaged actions. We further build a Multiagent-Race environment, and extensive experiments are conducted, demonstrating that robots trained in competitive environments outperform ones that are trained with SoTA algorithms in single robot environment.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10611581","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10611581","","Training;Competitive learning;Heuristic algorithms;Propioception;Benchmark testing;Robots;Signal to noise ratio","","7","","38","IEEE","8 Aug 2024","13-17 May 2024","13-17 May 2024","IEEE","IEEE Conferences"
"Experience Consistency Distillation Continual Reinforcement Learning for Robotic Manipulation Tasks","C. Zhao; J. Xu; R. Peng; X. Chen; K. Mei; X. Lan","Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, China; Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, China; Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, China; Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, China; Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, China; Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, China",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","501","507","Continual reinforcement learning, which aims to help robots acquire skills without catastrophic forgetting, obviating the need to re-learn all tasks from scratch. In order to enable lifelong acquisition of skills in robots, replay-based continual reinforcement learning has emerged as a promising research direction. These techniques replay data from previous tasks to mitigate forgetting when learning new skills. However, existing replay-based methods store poor representative experience, and the experience utilization of old tasks is inefficient. To address these issues, we propose an experience consistency distillation method for robot continual reinforcement learning to improve the data efficiency of the experience. Specifically, the experience of old tasks are distilled to obtain Markov Decision Process (MDP) data with high compression ratio and information content. To ensure consistent data distributions before and after distillation, we further utilize a Fréchet Inception Distance (FID) loss as a regularization constraint. In order to improve experience utilization efficiency, the policy is then trained using both the distilled data and current task data, with policy distillation performed based on uncertainty metrics. Our method is validated in the continual reinforcement learning simulation platform and real scene with a UR5e robot arm. Experimental results indicate that our method achieves higher success and lower buffer size requirement compared to other methods.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10611494","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10611494","","Measurement;Uncertainty;Markov decision processes;Reinforcement learning;Manipulators;Task analysis;Robots","","2","","39","IEEE","8 Aug 2024","13-17 May 2024","13-17 May 2024","IEEE","IEEE Conferences"
"Adapting to the “Open World”: The Utility of Hybrid Hierarchical Reinforcement Learning and Symbolic Planning","P. Lorang; H. Horvath; T. Kietreiber; P. Zips; C. Heitzinger; M. Scheutz","Human-Robot Interaction Laboratory, Tufts University, Medford, MA, USA; Institute of Information Systems Engineering, Faculty of Informatics, TU Wien, TU Wien, Vienna, Austria; Institute of Information Systems Engineering, Faculty of Informatics, TU Wien, TU Wien, Vienna, Austria; AIT Austrian Institute of Technology GmbH, Center for Vision, Automation & Control, Vienna, Austria; Institute of Information Systems Engineering, Faculty of Informatics, TU Wien, TU Wien, Vienna, Austria; Human-Robot Interaction Laboratory, Tufts University, Medford, MA, USA",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","508","514","Open-world robotic tasks such as autonomous driving pose significant challenges to robot control due to unknown and unpredictable events that disrupt task performance. Neural network-based reinforcement learning (RL) techniques (like DQN, PPO, SAC, etc.) struggle to adapt in large domains and suffer from catastrophic forgetting. Hybrid planning and RL approaches have shown some promise in handling environmental changes but lack efficiency in accommodation speed. To address this limitation, we propose an enhanced hybrid system with a nested hierarchical action abstraction that can utilize previously acquired skills to effectively tackle unexpected novelties. We show that it can adapt faster and generalize better compared to state-of-the-art RL and hybrid approaches, significantly improving robustness when multiple environmental changes occur at the same time.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10611594","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10611594","","Training;Robot control;Reinforcement learning;Robustness;Planning;Task analysis;Autonomous vehicles","","1","","28","IEEE","8 Aug 2024","13-17 May 2024","13-17 May 2024","IEEE","IEEE Conferences"
