"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Towards Human-Centered Construction Robotics: A Reinforcement Learning-Driven Companion Robot for Contextually Assisting Carpentry Workers","Y. Wu; J. Wei; J. Oh; D. C. Llach","Carnegie Mellon University, Pittsburgh, PA, USA; Carnegie Mellon University, Pittsburgh, PA, USA; Carnegie Mellon University, Pittsburgh, PA, USA; Carnegie Mellon University, Pittsburgh, PA, USA",2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"25 Dec 2024","2024","","","90","97","In the dynamic construction industry, traditional robotic integration has primarily focused on automating specific tasks, often overlooking the complexity and variability of human aspects in construction workflows. This paper introduces a human-centered approach with a ""work companion rover"" designed to assist construction workers within their existing practices, aiming to enhance safety and workflow fluency while respecting construction labor’s skilled nature. We conduct an in-depth study on deploying a robotic system in carpentry formwork, showcasing a prototype that emphasizes mobility, safety, and comfortable worker-robot collaboration in dynamic environments through a contextual Reinforcement Learning (RL)-driven modular framework. Our research advances robotic applications in construction, advocating for collaborative models where adaptive robots support rather than replace humans and underscores the potential for an interactive and collaborative human-robot workforce.","2153-0866","979-8-3503-7770-5","10.1109/IROS58592.2024.10802698","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10802698","","Adaptation models;Service robots;Collaboration;Prototypes;Reinforcement learning;Safety;Complexity theory;Robots;Intelligent robots;Construction industry","","4","","35","IEEE","25 Dec 2024","14-18 Oct. 2024","14-18 Oct. 2024","IEEE","IEEE Conferences"
"Dynamic Throwing with Robotic Material Handling Machines","L. Werner; F. Nan; P. Eyschen; F. A. Spinelli; H. Yang; M. Hutter","Robotic Systems Lab, ETH Zurich, Zurich, Switzerland; Robotic Systems Lab, ETH Zurich, Zurich, Switzerland; Robotic Systems Lab, ETH Zurich, Zurich, Switzerland; Robotic Systems Lab, ETH Zurich, Zurich, Switzerland; Robotic Systems Lab, ETH Zurich, Zurich, Switzerland; Robotic Systems Lab, ETH Zurich, Zurich, Switzerland",2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"25 Dec 2024","2024","","","98","104","Automation of hydraulic material handling machinery is currently limited to semi-static pick-and-place cycles. Dynamic throwing motions which utilize the passive joints, can greatly improve time efficiency as well as increase the dumping workspace. In this work, we use Reinforcement Learning (RL) to design dynamic controllers for material handlers with under-actuated arms as commonly used in logistics. The controllers are tested both in simulation and in real-world experiments on a 12-ton test platform. The method is able to exploit the passive joints of the gripper to perform dynamic throwing motions. With the proposed controllers, the machine is able to throw individual objects to targets outside the static reachability zone with good accuracy for its practical applications. The work demonstrates the possibility of using RL to perform highly dynamic tasks with heavy machinery, suggesting a potential for improving the efficiency and precision of autonomous material handling tasks.","2153-0866","979-8-3503-7770-5","10.1109/IROS58592.2024.10802743","Horizon Europe; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10802743","","Automation;Accuracy;Dynamics;Materials handling;Reinforcement learning;Hydraulic systems;Arms;Grippers;Intelligent robots;Logistics","","8","","26","IEEE","25 Dec 2024","14-18 Oct. 2024","14-18 Oct. 2024","IEEE","IEEE Conferences"
"Reinforcement Learning with Generalizable Gaussian Splatting","J. Wang; Q. Zhang; J. Sun; J. Cao; G. Han; W. Zhao; W. Zhang; Y. Shao; Y. Guo; R. Xu","The Hong Kong University of Science and Technology (Guangzhou), China; The Hong Kong University of Science and Technology (Guangzhou), China; The Hong Kong University of Science and Technology (Guangzhou), China; The Hong Kong University of Science and Technology (Guangzhou), China; Beijing Innovation Center of Humanoid Robotics Co., Ltd.; Beijing Innovation Center of Humanoid Robotics Co., Ltd.; Beijing Innovation Center of Humanoid Robotics Co., Ltd.; Center for X-Mechanics, Zhejiang University, China; Beijing Innovation Center of Humanoid Robotics Co., Ltd.; The Hong Kong University of Science and Technology (Guangzhou), China",2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"25 Dec 2024","2024","","","435","441","An excellent representation is crucial for reinforcement learning (RL) performance, especially in vision-based reinforcement learning tasks. The quality of the environment representation directly influences the achievement of the learning task. Previous vision-based RL typically uses explicit or implicit ways to represent environments, such as images, points, voxels, and neural radiance fields. However, these representations contain several drawbacks. They cannot either describe complex local geometries or generalize well to unseen scenes, or require precise foreground masks. Moreover, these implicit neural representations are akin to a ""black box"", significantly hindering interpretability. 3D Gaussian Splatting (3DGS), with its explicit scene representation and differentiable rendering nature, is considered a revolutionary change for reconstruction and representation methods. In this paper, we propose a novel Generalizable Gaussian Splatting framework to be the representation of RL tasks, called GSRL. Through validation in the RoboMimic environment, our method achieves better results than other baselines in multiple tasks, improving the performance by 10%, 44%, and 15% compared with baselines on the hardest task. This work is the first attempt to leverage generalizable 3DGS as a representation for RL.","2153-0866","979-8-3503-7770-5","10.1109/IROS58592.2024.10801348","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10801348","","Geometry;Visualization;Three-dimensional displays;Reinforcement learning;Rendering (computer graphics);Prediction algorithms;Neural radiance field;Optimization;Intelligent robots;Image reconstruction","","5","","48","IEEE","25 Dec 2024","14-18 Oct. 2024","14-18 Oct. 2024","IEEE","IEEE Conferences"
"X-neuron: Interpreting, Locating and Editing of Neurons in Reinforcement Learning Policy","Y. Ge; X. Zhao; J. Pang; M. Zhao; D. Lin","Shenzhen International Graduate School, Tsinghua University, Shenzhen, China; Shanghai Artificial Intelligence Laboratory, Shanghai, China; Shanghai Artificial Intelligence Laboratory, Shanghai, China; Department of Automation, Tsinghua University, Beijing, China; Shenzhen International Graduate School, Tsinghua University, Shenzhen, China",2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"25 Dec 2024","2024","","","458","465","Despite the impressive performance of Reinforcement Learning (RL), the black-box neural network backbone hinders users from trusting and deploying trained agents in real-world applications where safety is crucial. In order to make agents more trustworthy and controllable, for a given RL-trained policy, we propose to enhance its interpretability and make it human-controllable without retraining. We accomplish this goal by following a 3-step pipeline: 1) We interpret neurons by analyzing the causal effect of neurons on the kinematic attributes; To help agents unlock novel skills and enable human to assist agents in accomplishing tasks, 2) we locate the X-neuron, the optimal neuron that is capable of evoking the desired behavior; 3) and edit its activation values to achieve the precise control. We evaluate our method on various RL tasks ranging from autonomous driving to robot locomotion, and the results display that our approach outperforms previous work regarding almost all evaluation metrics. Through enhancing interpretability and introducing human control, the agents can improve safety and performance, even in unseen environments and novel tasks. For locomotion robots simply trained to walk forward, our method unlocks diverse controllable behaviors ranging from jump to backflip.","2153-0866","979-8-3503-7770-5","10.1109/IROS58592.2024.10801727","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10801727","","Legged locomotion;Neurons;Pipelines;Closed box;Reinforcement learning;Kinematics;Distance measurement;Safety;Autonomous vehicles;Intelligent robots","","","","34","IEEE","25 Dec 2024","14-18 Oct. 2024","14-18 Oct. 2024","IEEE","IEEE Conferences"
"Real-time Coordinated Motion Generation: A Hierarchical Deep Predictive Learning Model for Bimanual Tasks","G. Shikada; S. Armleder; H. Ito; G. Cheng; T. Ogata","Department of Intermedia Art and Science, Waseda University, Tokyo, Japan; Institute for Cognitive System (ICS) Technical University of Munich, Germany; Department of Intermedia Art and Science, Waseda University, Tokyo, Japan; Institute for Cognitive System (ICS) Technical University of Munich, Germany; Department of Intermedia Art and Science, Waseda University, Tokyo, Japan",2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"25 Dec 2024","2024","","","496","503","Robots that autonomously operate in human living environments require the ability to adapt to unpredictable changes and flexibly handle a variety of tasks. Particularly, coordinated bimanual motions are essential for enabling tasks that are difficult with just one hand, such as grasping bulky objects, transporting heavy loads, and precision work. Traditional methods of generating robot motions typically involve executing pre-programmed motions, making it challenging to adapt to complex and unpredictable environmental changes. To address this issue, our research focuses on generating diverse motions that can flexibly adapt to environmental changes based on Deep Predictive Learning from a small amount of real-world data. Previous Deep Predictive Learning models have generated the motions of a robot’s left and right arms by a single LSTM, making it difficult to operate them independently. Therefore, we propose a new Hierarchical Deep Predictive Learning model specialized for generating coordinated bimanual motions. This model comprises three components: a Left-LSTM, which learns the body and visual information on the robot’s left side, a Right-LSTM that performs a similar function for the right side, and a Union-LSTM which integrates this information at a higher level. To verify the effectiveness of the proposed model, we conducted bimanual grasping experiments with multiple different objects using two different robots. The experimental results showed that independent of hardware, our model demonstrated a higher success rate compared to the traditional approach, indicating its enhanced capability in coordinating bimanual motions.","2153-0866","979-8-3503-7770-5","10.1109/IROS58592.2024.10801317","Waseda University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10801317","","Robot motion;Visualization;Robot kinematics;Grasping;Predictive models;Transformers;Hardware;Real-time systems;Long short term memory;Periodic structures","","2","","24","IEEE","25 Dec 2024","14-18 Oct. 2024","14-18 Oct. 2024","IEEE","IEEE Conferences"
"An LSTM-based Model to Recognize Driving Style and Predict Acceleration","J. Lu; S. Hossain; W. Sheng; H. Bai","School of Electrical and Computer Engineering, Oklahoma State University, Stillwater, OK, USA; School of Mechanical and Aerospace Engineering, Oklahoma State University, Stillwater, OK, USA; School of Electrical and Computer Engineering, Oklahoma State University, Stillwater, OK, USA; School of Mechanical and Aerospace Engineering, Oklahoma State University, Stillwater, OK, USA",2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"25 Dec 2024","2024","","","504","510","To ensure safe cooperative driving in mixed traffic with both manned and unmanned vehicles, it is crucial to understand and model the driving styles of human drivers. This paper explores how to develop accurate recognition of driving style and use that for the prediction of vehicle motion, which enables better performance in cooperative driving. A simulation testbed that consists of a driving simulator and a copilot is first introduced for the purpose of data collection and testing. A Long Short-Term Memory (LSTM)-based network that models human driving styles and predicts driving acceleration is developed. Standalone tests are conducted to examine the model performance in the simulation testbed. Finally, the model is evaluated in a series of merging experiments that involves 5 vehicles.","2153-0866","979-8-3503-7770-5","10.1109/IROS58592.2024.10802611","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10802611","","Accuracy;Merging;Predictive models;Data collection;Long short term memory;Intelligent robots;Autonomous vehicles;Vehicles;Testing","","2","","25","IEEE","25 Dec 2024","14-18 Oct. 2024","14-18 Oct. 2024","IEEE","IEEE Conferences"
"PolyFit: A Peg-in-hole Assembly Framework for Unseen Polygon Shapes via Sim-to-real Adaptation","G. Lee; J. Lee; S. Noh; M. Ko; K. Kim; K. Lee","School of Integrated Technology (SIT), Gwangju Institute of Science and Technology (GIST), Gwangju, Republic of Korea; School of Integrated Technology (SIT), Gwangju Institute of Science and Technology (GIST), Gwangju, Republic of Korea; School of Integrated Technology (SIT), Gwangju Institute of Science and Technology (GIST), Gwangju, Republic of Korea; School of Integrated Technology (SIT), Gwangju Institute of Science and Technology (GIST), Gwangju, Republic of Korea; School of Integrated Technology (SIT), Gwangju Institute of Science and Technology (GIST), Gwangju, Republic of Korea; School of Integrated Technology (SIT), Gwangju Institute of Science and Technology (GIST), Gwangju, Republic of Korea",2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"25 Dec 2024","2024","","","533","540","The study addresses the foundational and challenging task of peg-in-hole assembly in robotics, where misalignments caused by sensor inaccuracies and mechanical errors often result in insertion failures or jamming. This research introduces PolyFit, representing a paradigm shift by transitioning from a reinforcement learning approach to a supervised learning methodology. PolyFit is a Force/Torque (F/T)-based supervised learning framework designed for 5-DoF peg-in-hole assembly. It utilizes F/T data for accurate extrinsic pose estimation and adjusts the peg pose to rectify misalignments. Extensive training in a simulated environment involves a dataset encompassing a diverse range of peg-hole shapes, extrinsic poses, and their corresponding contact F/T readings. The study proposes a sim-to-real adaptation method for real-world application, using a sim-real paired dataset to enable effective generalization to complex and unseen polygon shapes. Real-world evaluations demonstrate substantial success rates of 96.7% and 91.3%, highlighting the robustness and adaptability of the proposed method. Videos of data generation and experiments are available online at https://sites.google.com/view/polyfit-peginhole.","2153-0866","979-8-3503-7770-5","10.1109/IROS58592.2024.10802554","Electronics and Telecommunications Research Institute; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10802554","","Training;Geometry;Shape;5-DOF;Supervised learning;Pose estimation;Data collection;Robot sensing systems;Robustness;Assembly","","5","","26","IEEE","25 Dec 2024","14-18 Oct. 2024","14-18 Oct. 2024","IEEE","IEEE Conferences"
"Waypoint-Based Reinforcement Learning for Robot Manipulation Tasks","S. A. Mehta; S. Habibian; D. P. Losey","Dept. of Mechanical Engineering, Collaborative Robotics Lab (Collab), Virginia Tech, Blacksburg, VA; Dept. of Mechanical Engineering, Collaborative Robotics Lab (Collab), Virginia Tech, Blacksburg, VA; Dept. of Mechanical Engineering, Collaborative Robotics Lab (Collab), Virginia Tech, Blacksburg, VA",2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"25 Dec 2024","2024","","","541","548","Robot arms should be able to learn new tasks. One framework here is reinforcement learning, where the robot is given a reward function that encodes the task, and the robot autonomously learns actions to maximize its reward. Existing approaches to reinforcement learning often frame this problem as a Markov decision process, and learn a policy (or a hierarchy of policies) to complete the task. These policies reason over hundreds of fine-grained actions that the robot arm needs to take: e.g., moving slightly to the right or rotating the end-effector a few degrees. But the manipulation tasks that we want robots to perform can often be broken down into a small number of high-level motions: e.g., reaching an object or turning a handle. In this paper we therefore propose a waypoint-based approach for model-free reinforcement learning. Instead of learning a low-level policy, the robot now learns a trajectory of waypoints, and then interpolates between those waypoints using existing controllers. Our key novelty is framing this waypoint-based setting as a sequence of multi-armed bandits: each bandit problem corresponds to one waypoint along the robot’s motion. We theoretically show that an ideal solution to this reformulation has lower regret bounds than standard frameworks. We also introduce an approximate posterior sampling solution that builds the robot’s motion one waypoint at a time. Results across benchmark simulations and two real-world experiments suggest that this proposed approach learns new tasks more quickly than state-of-the-art baselines. See our website here: https://collab.me.vt.edu/rl-waypoints/","2153-0866","979-8-3503-7770-5","10.1109/IROS58592.2024.10802681","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10802681","","Markov decision processes;Buildings;Reinforcement learning;Approximation algorithms;Turning;End effectors;Trajectory;Robots;Standards;Intelligent robots","","7","","27","IEEE","25 Dec 2024","14-18 Oct. 2024","14-18 Oct. 2024","IEEE","IEEE Conferences"
"Reinforcement Learning of Dolly-In Filming Using a Ground-Based Robot","P. Lorimer; J. Saunders; A. Hunter; W. Li","Department of Computer Science, University of Bath, UK; Department of Computer Science, University of Bath, UK; Department of Mechanical Engineering, University of Bath, UK; Department of Computer Science, University of Bath, UK",2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"25 Dec 2024","2024","","","549","556","Free-roaming dollies enhance filmmaking with dynamic movement, but challenges in automated camera control remain unresolved. Our study advances this field by applying Reinforcement Learning (RL) to automate dolly-in shots using free-roaming ground-based filming robots, overcoming traditional control hurdles. We demonstrate the effectiveness of combined control for precise film tasks by comparing it to independent control strategies. Our robust RL pipeline surpasses traditional Proportional-Derivative controller performance in simulation and proves its efficacy in real-world tests on a modified ROSBot 2.0 platform equipped with a camera turret. This validates our approach’s practicality and sets the stage for further research in complex filming scenarios, contributing significantly to the fusion of technology with cinematic creativity. This work presents a leap forward in the field and opens new avenues for research and development, effectively bridging the gap between technological advancement and creative filmmaking.","2153-0866","979-8-3503-7770-5","10.1109/IROS58592.2024.10802717","Centre for Digital Entertainment; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10802717","","Robot vision systems;Pipelines;Reinforcement learning;Cameras;PD control;Research and development;Intelligent robots;Creativity","","","","29","IEEE","25 Dec 2024","14-18 Oct. 2024","14-18 Oct. 2024","IEEE","IEEE Conferences"
"Bi-CL: A Reinforcement Learning Framework for Robots Coordination Through Bi-level Optimization","Z. Hu; D. Shishika; X. Xiao; X. Wang",George Mason University; George Mason University; George Mason University; George Mason University,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"25 Dec 2024","2024","","","581","586","In multi-robot systems, achieving coordinated missions remains a significant challenge due to the coupled nature of coordination behaviors and the lack of global information for individual robots. To mitigate these challenges, this paper introduces a novel approach, Bi-level Coordination Learning (Bi-CL), that leverages a bi-level optimization structure within a CTDE paradigm. Our bi-level reformulation decomposes the original problem into a reinforcement learning level with reduced action space, and an imitation learning level that gains demonstrations from a global optimizer. Bi-CL further integrates an alignment penalty mechanism, aiming to minimize the discrepancy between the two levels without degrading their training efficiency. We introduce a running example to conceptualize the problem formulation. Simulation results demonstrate that Bi-CL can learn more efficiently and achieve comparable performance with traditional multi-agent reinforcement learning baselines for multi-robot coordination.","2153-0866","979-8-3503-7770-5","10.1109/IROS58592.2024.10801728","Arm; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10801728","","Training;Robot kinematics;Simulation;Scalability;Refining;Reinforcement learning;Multi-robot systems;Noise measurement;Optimization;Resilience","","3","","28","IEEE","25 Dec 2024","14-18 Oct. 2024","14-18 Oct. 2024","IEEE","IEEE Conferences"
